tpins;inst;din_entrada;din_desativacao
HID;IVX222;17/09/2019;
HID;IVX223;08/04/2003;
HID;IVX224;07/11/2015;
HID;IVX225;06/06/2003;
HID;IVX226;17/09/2016;
HID;IVX227;28/12/2017;
HID;IVX228;02/02/2001;
HID;IVX229;27/07/1977;
HID;IVX230;28/04/2016;
TER;IVX231;08/02/2011;
TER;IVX232;24/12/2010;
TER;IVX233;13/01/2011;
TER;IVX234;01/01/2008;
TER;IVX235;15/03/2002;01/01/2006
TER;IVX236;15/03/2002;01/01/2006
TER;IVX237;15/03/2002;01/01/2006
TER;IVX238;15/03/2002;01/01/2006
TER;IVX239;15/03/2002;01/01/2006
TER;IVX240;15/03/2002;01/01/2006
TER;IVX241;18/06/2009;01/01/2024
TER;IVX242;18/06/2009;01/01/2024
TER;IVX243;05/12/2013;
TER;IVX244;01/01/2008;09/08/2022
TER;IVX245;01/01/2008;09/08/2022
TER;IVX246;09/09/2006;
HID;IVX247;01/10/1980;
HID;IVX248;25/10/1970;
HID;IVX249;31/07/2005;
HID;IVX250;08/02/2019;
HID;IVX251;23/11/2012;
HID;IVX252;14/06/2013;
HID;IVX253;17/10/1975;
HID;IVX254;31/12/1980;
TER;IVX255;01/01/2011;
NUC;IVX256;07/07/1977;
HID;IVX257;05/06/2013;
TER;IVX258;01/03/2014;
TER;IVX259;19/12/2001;
TER;IVX260;06/03/2004;
TER;IVX261;06/07/2002;01/01/2005
TER;IVX262;21/07/2002;01/01/2006
TER;IVX267;10/09/2008;
TER;IVX268;03/03/2009;
HID;IVX269;31/12/1990;
TER;IVX270;31/12/1990;
TER;IVX271;31/12/1990;31/01/2013
HID;IVX272;31/03/2011;
HID;IVX273;14/10/2010;
HID;IVX274;29/12/2004;
HID;IVX275;01/09/2009;
HID;IVX276;21/03/1973;
HID;IVX277;24/03/2012;
HID;IVX278;25/12/2008;
HID;IVX279;01/02/1978;
HID;IVX280;01/03/1962;
TER;IVX281;13/05/1968;12/12/2018
TER;IVX282;01/01/1974;12/12/2018
TER;IVX283;01/01/1997;12/12/2018
HID;IVX284;29/03/2011;
TER;IVX285;03/09/1968;05/03/2014
TER;IVX286;04/01/1962;01/01/2017
TER;IVX287;01/01/2011;
TER;IVX288;13/12/2000;
HID;IVX289;24/09/2013;
HID;IVX290;01/11/2005;
HID;IVX291;03/02/2007;
HID;IVX292;11/12/2009;
HID;IVX293;21/07/2022;
HID;IVX294;23/12/2003;
TER;IVX295;06/08/2002;01/01/2006
TER;IVX296;22/06/2002;01/01/2005
HID;IVX297;01/03/1978;
HID;IVX298;01/04/1952;
TER;IVX299;07/07/1977;14/08/2019
HID;IVX300;06/02/1970;
HID;IVX301;01/03/1973;
HID;IVX302;01/02/1969;
HID;IVX303;21/09/1962;
HID;IVX304;01/04/1982;
TER;IVX306;01/03/1954;
TER;IVX307;06/08/2002;19/09/2014
HID;IVX308;12/09/2002;
HID;IVX309;23/01/1999;
HID;IVX310;01/03/1975;
HID;IVX311;11/06/1987;
HID;IVX312;31/05/1958;
HID;IVX313;11/12/1992;
HID;IVX314;01/01/1969;
HID;IVX315;29/04/2011;
HID;IVX316;27/06/2006;
HID;IVX317;06/08/2009;
HID;IVX318;30/04/1971;
HID;IVX319;02/01/1972;
HID;IVX320;01/01/1980;
HID;IVX321;01/04/1982;
HID;IVX322;01/02/1963;
TER;IVX323;16/09/2021;
TER;IVX324;23/04/2021;
TER;IVX325;26/11/2010;
TER;IVX326;01/01/2009;
TER;IVX327;19/09/2017;
TER;IVX328;21/11/2020;20/05/2021
TER;IVX329;21/11/2020;20/05/2021
TER;IVX330;01/12/2020;25/05/2021
HID;IVX331;30/07/2005;
HID;IVX332;20/04/2016;
HID;IVX333;10/03/1977;
HID;IVX334;04/03/2008;
HID;IVX335;01/01/1980;
HID;IVX336;04/11/2014;
HID;IVX337;01/01/1940;
HID;IVX338;02/01/1978;
HID;IVX339;01/01/1973;
HID;IVX340;30/03/2012;
HID;IVX341;06/09/2013;
HID;IVX342;01/01/1985;
TER;IVX343;01/01/2008;09/08/2022
TER;IVX344;01/01/2008;09/08/2022
TER;IVX345;09/01/2010;
TER;IVX346;03/03/2009;
TER;IVX347;30/12/2010;
TER;IVX348;20/05/2010;
TER;IVX349;28/06/2019;
TER;IVX350;24/01/2013;
TER;IVX351;10/07/2021;
TER;IVX352;01/10/2021;01/04/2022
TER;IVX353;30/09/2022;
TER;IVX354;25/10/2022;
TER;IVX355;04/10/2022;
TER;IVX356;30/09/2022;
TER;IVX357;16/06/2022;
TER;IVX358;14/07/2022;
TER;IVX359;23/07/2022;
TER;IVX360;02/12/2023;
TER;IVX361;24/08/2022;
TER;IVX362;;
TER;IVX363;21/12/2022;
TER;IVX364;;
TER;IVX365;;
TER;IVX366;;
TER;IVX367;;
TER;IVX369;21/06/2023;
TER;IVX370;12/11/2022;
TER;IVX395;05/05/2023;06/05/2023
TER;IVX396;24/05/2023;
TER;IVX397;30/05/2023;
EOL;IVX398;02/04/2024;
FOT;IVX399;;
HID;IVX400;;
EOL;IVX401;09/01/2024;
TER;IVX402;;
HID;IVX403;;31/12/1990
HIB;IVX404;28/07/2010;
FOT;IVX405;;
TER;IVX406;;
TER;IVX407;;
FOT;IVX408;;
