instal;maquina;comb;dtini_oper;din_des;din_iniapur
IVX316;IVX3161360;HD;29/07/2006;;29/07/2006
IVX316;IVX3161361;HD;27/06/2006;;27/06/2006
IVX87;IVX871362;HD;07/11/2002;;07/11/2002
IVX87;IVX871363;HD;30/07/2002;;30/07/2002
IVX87;IVX871364;HD;09/05/2002;;09/05/2002
IVX42;IVX421365;HD;13/07/1999;;13/07/1999
IVX87;IVX871366;HD;01/03/2002;;01/03/2002
IVX230;IVX2301367;HD;12/01/2017;;12/01/2017
IVX340;IVX3401368;HD;19/05/2016;;19/05/2016
IVX185;IVX1851369;OD;16/07/2002;01/01/2006;
IVX185;IVX1851370;OD;16/07/2002;01/01/2006;
IVX185;IVX1851371;OD;16/07/2002;01/01/2006;
IVX340;IVX3401372;HD;03/01/2017;;03/01/2017
IVX340;IVX3401373;HD;03/01/2017;;03/01/2017
IVX340;IVX3401374;HD;03/01/2017;;03/01/2017
IVX340;IVX3401375;HD;03/01/2017;;03/01/2017
IVX332;IVX3321376;HD;20/11/2019;;20/11/2019
IVX332;IVX3321377;HD;19/10/2019;;19/10/2019
IVX332;IVX3321378;HD;25/09/2019;;25/09/2019
IVX332;IVX3321379;HD;21/08/2019;;21/08/2019
IVX332;IVX3321380;HD;06/06/2019;;06/06/2019
IVX332;IVX3321381;HD;01/05/2019;;01/05/2019
IVX340;IVX3401382;HD;14/04/2016;;14/04/2016
IVX332;IVX3321383;HD;06/12/2018;;06/12/2018
IVX332;IVX3321384;HD;05/10/2018;;05/10/2018
IVX332;IVX3321385;HD;13/06/2018;;13/06/2018
IVX332;IVX3321386;HD;01/02/2018;;01/02/2018
IVX332;IVX3321387;HD;28/10/2017;;28/10/2017
IVX332;IVX3321388;HD;19/07/2017;;19/07/2017
IVX332;IVX3321389;HD;20/04/2017;;20/04/2017
IVX332;IVX3321390;HD;18/01/2017;;18/01/2017
IVX332;IVX3321391;HD;02/11/2016;;02/11/2016
IVX332;IVX3321392;HD;16/07/2016;;16/07/2016
IVX332;IVX3321393;HD;20/04/2016;;20/04/2016
IVX217;IVX2171394;MS;30/06/2015;;01/01/2020
IVX340;IVX3401395;HD;29/06/2016;;29/06/2016
IVX340;IVX3401396;HD;18/06/2016;;18/06/2016
IVX332;IVX3321397;HD;28/11/2018;;28/11/2018
IVX340;IVX3401398;HD;03/01/2017;;03/01/2017
IVX56;IVX561399;HD;01/02/1960;;01/01/1996
IVX56;IVX561400;HD;01/02/1955;;01/01/1996
IVX185;IVX1851401;OD;16/07/2002;01/01/2006;
IVX185;IVX1851402;OD;16/07/2002;01/01/2006;
IVX185;IVX1851403;OD;16/07/2002;01/01/2006;
IVX185;IVX1851404;OD;16/07/2002;01/01/2006;
IVX39;IVX391405;HD;01/04/1956;;15/09/2022
IVX39;IVX391406;HD;01/04/1956;;15/09/2022
IVX185;IVX1851407;OD;16/07/2002;01/01/2006;
IVX185;IVX1851408;OD;16/07/2002;01/01/2006;
IVX185;IVX1851409;OD;16/07/2002;01/01/2006;
IVX230;IVX2301410;HD;08/06/2016;;08/06/2016
IVX230;IVX2301411;HD;28/04/2016;;28/04/2016
IVX116;IVX1161412;HD;31/03/1981;;01/01/1996
IVX116;IVX1161413;HD;30/04/1980;;01/01/1996
IVX185;IVX1851414;OD;16/07/2002;01/01/2006;
IVX116;IVX1161415;HD;28/02/1980;;01/01/1996
IVX62;IVX621416;HD;01/03/1973;;01/01/1996
