id_unidadegeradora;uge_id;instal;maquina;id_tpcombustivel;dtini_oper;din_des;din_iniapur
478;SPUSLB0UG1 ;IVX314;IVX314533;HD;1969-01-01 00:00:00;;1996-01-01 00:00:00
479;PRIT600UG17;IVX69;IVX69534;HD;1991-01-01 00:00:00;;1996-01-01 00:00:00
480;SPPIRP0UG1 ;IVX307;IVX307535;MS;2008-01-01 00:00:00;2014-09-19;
481;ROTN2-0UG3 ;IVX270;IVX270536;OD;1990-12-31 00:00:00;;2009-10-23 00:00:00
482;MSTLA-0UG6 ;IVX100;IVX100537;GS;2004-01-08 00:00:00;;2004-01-08 00:00:00
483;MSTLA-0UG5 ;IVX100;IVX100538;GS;2004-01-08 00:00:00;;2004-01-08 00:00:00
484;MSTLA-0UG2 ;IVX100;IVX100539;GS;2004-01-08 00:00:00;;2004-01-08 00:00:00
485;MSTLA-0UG1 ;IVX100;IVX100540;GS;2004-01-08 00:00:00;;2004-01-08 00:00:00
486;MSLCP-0UG2C;IVX100;IVX100541;CC;2012-05-16 00:00:00;;2012-05-16 00:00:00
487;MSLCP-0UG1C;IVX100;IVX100542;CC;2012-04-05 00:00:00;;2012-04-05 00:00:00
488;SEBEJD0UG34;IVX295;IVX295543;OD;2002-08-08 00:00:00;2006-01-01;
489;SEBEJD0UG32;IVX295;IVX295544;OD;2002-08-08 00:00:00;2006-01-01;
490;SEBEJD0UG31;IVX295;IVX295545;OD;2002-08-08 00:00:00;2006-01-01;
491;SPCAR-0UG2 ;IVX299;IVX299546;OL;1977-07-07 00:00:00;2019-08-14;1996-01-01 00:00:00
492;SPCAR-0UG1 ;IVX299;IVX299547;OL;1977-07-07 00:00:00;2019-08-14;1996-01-01 00:00:00
493;PRIT600UG15;IVX69;IVX69548;HD;1987-01-01 00:00:00;;1996-01-01 00:00:00
494;PRIT600UG14;IVX69;IVX69549;HD;1987-01-01 00:00:00;;1996-01-01 00:00:00
495;ROTN2-0UG2 ;IVX270;IVX270550;OD;1990-12-31 00:00:00;;2009-10-23 00:00:00
496;PRIT600UG13;IVX69;IVX69551;HD;1988-04-01 00:00:00;;1996-01-01 00:00:00
497;GOUSSM0UG2 ;IVX193;IVX193552;HD;1998-07-01 00:00:00;;1998-07-01 00:00:00
498;AMBA--0UG1 ;IVX131;IVX131553;HD;1989-02-13 00:00:00;;2015-05-01 00:00:00
499;AMJA--0UG7 ;IVX134;IVX134554;GS;2013-07-09 00:00:00;;
500;AMJA--0UG6 ;IVX134;IVX134555;GS;2013-07-09 00:00:00;;
501;SCUTLB0UG6 ;IVX88;IVX88556;CV;1980-07-30 00:00:00;;1996-01-01 00:00:00
502;SCUTLB0UG5 ;IVX88;IVX88557;CV;1979-11-15 00:00:00;;1996-01-01 00:00:00
503;SCUTLA0UG4 ;IVX64;IVX64558;CV;1973-03-26 00:00:00;;1996-01-01 00:00:00
504;RJSBRA0UG2 ;IVX121;IVX121559;HD;1999-08-18 00:00:00;;1999-08-18 00:00:00
505;RJSBRA0UG1 ;IVX121;IVX121560;HD;1999-06-06 00:00:00;;1999-06-06 00:00:00
506;SPUSLB0UG4 ;IVX314;IVX314561;HD;1969-04-01 00:00:00;;1996-01-01 00:00:00
507;SPUSLB0UG3 ;IVX314;IVX314562;HD;1969-03-01 00:00:00;;1996-01-01 00:00:00
508;SPUSLB0UG2 ;IVX314;IVX314563;HD;1969-02-01 00:00:00;;1996-01-01 00:00:00
509;ROTN2-0UGST;IVX270;IVX270564;CC;1990-12-31 00:00:00;;2009-10-23 00:00:00
510;GOUSSM0UG3 ;IVX193;IVX193565;HD;1998-10-01 00:00:00;;1998-10-01 00:00:00
512;PATU--0UG1 ;IVX91;IVX91567;HD;1984-04-30 00:00:00;;1996-01-01 00:00:00
513;PATU--0UG11;IVX91;IVX91568;HD;1991-04-30 00:00:00;;1996-01-01 00:00:00
514;BAEGJG0UG33;IVX145;IVX145569;OD;2002-06-28 00:00:00;2005-01-01;
515;BAEGJG0UG27;IVX145;IVX145570;OD;2002-06-28 00:00:00;2005-01-01;
516;BAEGJG0UG22;IVX145;IVX145571;OD;2002-06-28 00:00:00;2005-01-01;
